iter	Passed	Remaining
0	1	186
1	3	179
2	5	173
3	6	162
4	8	167
5	10	165
6	11	159
7	13	158
8	15	158
9	17	157
10	18	153
11	20	153
12	22	151
13	24	150
14	26	150
15	28	148
16	30	146
17	31	143
18	33	141
19	34	139
20	36	136
21	38	134
22	39	133
23	41	132
24	43	129
25	44	127
26	46	125
27	48	124
28	49	122
29	51	119
30	53	119
31	55	117
32	57	117
33	59	115
34	61	114
35	65	116
36	67	115
37	69	113
38	71	111
39	73	109
40	74	107
41	75	103
42	77	102
43	80	101
44	81	99
45	83	98
46	85	96
47	86	93
48	88	92
49	90	90
50	92	88
51	94	86
52	96	85
53	98	83
54	99	81
55	101	79
56	103	77
57	105	76
58	107	74
59	109	72
60	111	71
61	113	69
62	115	67
63	116	65
64	118	63
65	120	61
66	121	60
67	124	58
68	126	56
69	127	54
70	129	52
71	131	51
72	133	49
73	135	47
74	137	45
75	138	43
76	140	42
77	142	40
78	145	38
79	147	36
80	148	34
81	151	33
82	153	31
83	155	29
84	157	27
85	158	25
86	160	23
87	163	22
88	164	20
89	166	18
90	168	16
91	170	14
92	172	13
93	175	11
94	177	9
95	179	7
96	181	5
97	183	3
98	185	1
99	187	0
